id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
11137,2019,Chennai,23-03-2019,RCB,CSK,CSK,field,normal,0,CSK,0,7,Harbhajan Singh,M. A. Chidambaram Stadium,Bruce Oxenford,Anil Dandekar,Nitin Menon
11138,2019,Kolkata,24-03-2019,SH,KKR,KKR,field,normal,0,KKR,0,6,AD Russell,Eden Gardens,Chris Gaffaney,Anil Chaudhary,Vineet Kulkarni
11139,2019,Mumbai,24-03-2019,DC,MI,MI,field,normal,0,DC,37,0,RR Pant,Wankhede Stadium,S Ravi,Yeshwant Barde,O Nandan
11140,2019,Jaipur,25-03-2019,KXP,RR,RR,field,normal,0,KXP,14,0,CH Gayle,Sawai Mansingh Stadium,C Shamshuddin,KN Anantapadmanabhan,Bruce Oxenford
11141,2019,Delhi,26-03-2019,DC,CSK,DC,bat,normal,0,CSK,0,6,SR Watson,Feroz Shah Kotla Ground,Marais Erasmus,Nitin Menon,Anil Dandekar
11142,2019,Kolkata,27-03-2019,KKR,KXP,KXP,field,normal,0,KKR,28,0,AD Russell,Eden Gardens,Anil Chaudhary,Vineet Kulkarni,Chris Gaffaney
11143,2019,Bengaluru,28-03-2019,MI,RCB,RCB,field,normal,0,MI,6,0,JJ Bumrah,M. Chinnaswamy Stadium,S Ravi,O Nandan,Yeshwant Barde
11144,2019,Hyderabad,29-03-2019,RR,SH,RR,bat,normal,0,SH,0,5,Rashid Khan,Rajiv Gandhi Intl. Cricket Stadium,Bruce Oxenford,C Shamshuddin,KN Anantapadmanabhan
11145,2019,Mohali,30-03-2019,MI,KXP,KXP,field,normal,0,KXP,0,8,MA Agarwal,IS Bindra Stadium,Vineet Kulkarni,Chris Gaffaney,Anil Chaudhary
11146,2019,Delhi,30-03-2019,KKR,DC,DC,field,tie,0,DC,0,0,P Shaw,Feroz Shah Kotla Ground,Anil Dandekar,Nitin Menon,Marais Erasmus
11147,2019,Hyderabad,31-03-2019,SH,RCB,RCB,field,normal,0,SH,118,0,J Bairstow,Rajiv Gandhi Intl. Cricket Stadium,S Ravi,KN Anantapadmanabhan,C Shamshuddin
11148,2019,Chennai,31-03-2019,CSK,RR,RR,field,normal,0,CSK,8,0,MS Dhoni,M. A. Chidambaram Stadium,O Nandan,Yeshwant Barde,Bruce Oxenford
11149,2019,Mohali,01-04-2019,KXP,DC,DC,field,normal,0,KXP,14,0,S Curran,IS Bindra Stadium,Anil Chaudhary,Chris Gaffaney,Vineet Kulkarni
11150,2019,Jaipur,02-04-2019,RCB,RR,RR,field,normal,0,RR,0,7,S Gopal,Sawai Mansingh Stadium,Marais Erasmus,Anil Dandekar,Nitin Menon
11151,2019,Mumbai,03-04-2019,MI,CSK,CSK,field,normal,0,MI,37,0,HH Pandya,Wankhede Stadium,Bruce Oxenford,Rod Tucker,Yeshwant Barde
11152,2019,Delhi,04-04-2019,DC,SH,SH,field,normal,0,SH,0,5,J Bairstow,Feroz Shah Kotla Ground,C Shamshuddin,KN Anantapadmanabhan,S Ravi
11153,2019,Bengaluru,05-04-2019,RCB,KKR,KKR,field,normal,0,KKR,0,5,AD Russell,M. Chinnaswamy Stadium,Anil Chaudhary,Chris Gaffaney,O Nandan
11309,2019,Chennai,06-04-2019,CSK,KXP,CSK,bat,normal,0,CSK,22,0,Harbhajan Singh,M. A. Chidambaram Stadium,KN Ananthapadmanabhan,Rod Tucker,C Shamshuddin
11310,2019,Hyderabad,06-04-2019,MI,SH,SH,field,normal,0,MI,40,0,A Joseph,Rajiv Gandhi Intl. Cricket Stadium,Anil Dandekar,Nitin Menon,Marais Erasmus
